ticker,date,period_ending,estimate,reported,surprise,surprise%,group
VEEV,2021-05-27,21-Apr,0.78,0.91,0.13,16.67,2
VFC,2021-05-21,21-Mar,0.3,0.27,-0.03,-10,3
VICI,2021-04-29,21-Mar,0.47,0.5,0.03,6.38,2
VIRT,2021-05-04,21-Mar,1.3,2.04,0.74,56.92,1
VLO,2021-04-22,21-Mar,-1.91,-1.73,0.18,9.42,2
VMC,2021-05-04,21-Mar,0.41,0.69,0.28,68.29,1
VMI,2021-04-21,21-Mar,2.12,2.57,0.45,21.23,2
VMW,2021-05-27,21-Apr,1.74,1.76,0.02,1.15,3
VNO,2021-05-03,21-Mar,0.63,0.06,-0.57,-90.48,3
VOYA,2021-05-10,21-Mar,1.08,1.03,-0.05,-4.63,3
VRSK,2021-05-04,21-Mar,1.25,1.23,-0.02,-1.6,3
VRSN,2021-04-22,21-Mar,1.29,1.33,0.04,3.1,3
VRT,2021-04-28,21-Mar,0.12,0.21,0.09,75,1
VRTX,2021-04-29,21-Mar,2.77,2.98,0.21,7.58,2
VSAT,2021-05-25,21-Mar,0.03,0.11,0.08,266.67,1
VST,2021-05-04,21-Mar,-2.34,-4.21,-1.87,-79.91,3
VTR,2021-05-07,21-Mar,0.7,-0.15,-0.85,-121.43,3
VVV,2021-04-28,21-Mar,0.37,0.46,0.09,24.32,2
VZ,2021-04-21,21-Mar,1.29,1.31,0.02,1.55,3
W,2021-05-06,21-Mar,0.29,1,0.71,244.83,1
WAB,2021-04-29,21-Mar,0.85,0.89,0.04,4.71,3
WAL,2021-04-15,21-Mar,1.46,1.9,0.44,30.14,1
WAT,2021-05-05,21-Mar,1.57,2.29,0.72,45.86,1
WBA,2021-03-31,21-Feb,1.1,1.4,0.3,27.27,1
WBS,2021-04-19,21-Mar,0.89,1.25,0.36,40.45,1
WDAY,2021-05-26,21-Apr,0.73,0.87,0.14,19.18,2
WDC,2021-04-29,21-Mar,0.67,1.02,0.35,52.24,1
WEC,2021-05-03,21-Mar,1.47,1.61,0.14,9.52,2
WELL,2021-04-28,21-Mar,0.75,0.28,-0.47,-62.67,3
WEN,2021-05-12,21-Mar,0.14,0.2,0.06,42.86,1
WEX,2021-04-29,21-Mar,1.6,1.79,0.19,11.88,2
WFC,2021-04-14,21-Mar,0.69,1.05,0.36,52.17,1
WH,2021-04-28,21-Mar,0.25,0.36,0.11,44,1
WHR,2021-04-21,21-Mar,5.38,7.2,1.82,33.83,1
WIX,2021-05-12,21-Mar,-0.73,-0.54,0.19,26.03,1
WLK,2021-05-04,21-Mar,1.56,1.87,0.31,19.87,2
WLTW,2021-04-29,21-Mar,3.26,3.64,0.38,11.66,2
WM,2021-04-27,21-Mar,1,1.06,0.06,6,3
WMB,2021-05-03,21-Mar,0.28,0.35,0.07,25,1
WMS,2021-05-20,21-Mar,0.38,0.23,-0.15,-39.47,3
WMT,2021-05-18,21-Apr,1.22,1.69,0.47,38.52,1
WOOF,2021-05-20,21-Mar,0.11,0.17,0.06,54.55,1
WPC,2021-04-30,21-Mar,1.21,0.29,-0.92,-76.03,3
WRB,2021-04-20,21-Mar,0.89,1.08,0.19,21.35,2
WRK,2021-05-05,21-Mar,0.62,0.54,-0.08,-12.9,3
WSM,2021-05-26,21-Apr,1.85,2.93,1.08,58.38,1
WSO,2021-04-22,21-Mar,0.91,1.39,0.48,52.75,1
WST,2021-04-29,21-Mar,1.42,2.05,0.63,44.37,1
WTFC,2021-04-19,21-Mar,1.41,2.54,1.13,80.14,1
WU,2021-05-04,21-Mar,0.45,0.44,-0.01,-2.22,3
WWD,2021-05-03,21-Mar,0.82,1.04,0.22,26.83,1
WWE,2021-04-22,21-Mar,0.23,0.51,0.28,121.74,1
WY,2021-04-30,21-Mar,0.93,0.91,-0.02,-2.15,3
WYNN,2021-05-10,21-Mar,-2,-2.41,-0.41,-20.5,3
X,2021-04-29,21-Mar,0.91,1.08,0.17,18.68,2
XEL,2021-04-29,21-Mar,0.61,0.67,0.06,9.84,2
XLNX,2021-05-04,21-Mar,0.75,0.82,0.07,9.33,2
XLRN,2021-05-06,21-Mar,-0.83,-0.77,0.06,7.23,2
XOM,2021-04-30,21-Mar,0.59,0.65,0.06,10.17,2
XPO,2021-05-03,21-Mar,0.93,1.46,0.53,56.99,1
XRAY,2021-05-06,21-Mar,0.55,0.72,0.17,30.91,1
XRX,2021-04-20,21-Mar,0.23,0.22,-0.01,-4.35,3
XYL,2021-05-04,21-Mar,0.37,0.56,0.19,51.35,1
Y,2021-05-06,21-Mar,4.65,9.81,5.16,110.97,1
YETI,2021-05-13,21-Mar,0.22,0.38,0.16,72.73,1
YUM,2021-04-28,21-Mar,0.85,1.07,0.22,25.88,1
YUMC,2021-04-27,21-Mar,0.41,0.54,0.13,31.71,1
ZBH,2021-05-04,21-Mar,1.51,1.71,0.2,13.25,2
ZBRA,2021-05-04,21-Mar,4.41,4.79,0.38,8.62,2
ZEN,2021-04-29,21-Mar,0.12,0.17,0.05,41.67,1
ZG,2021-05-04,21-Mar,0.24,0.44,0.2,83.33,1
ZION,2021-04-19,21-Mar,1.15,1.9,0.75,65.22,1
ZM,2021-06-01,21-Apr,0.97,1.32,0.35,36.08,1
ZNGA,2021-05-05,21-Mar,0.09,0.08,-0.01,-11.11,3
ZS,2021-05-25,21-Apr,0.07,0.15,0.08,114.29,1
ZTS,2021-05-06,21-Mar,1.04,1.26,0.22,21.15,2
